英文單字,英文例句,單字詞性和中文翻譯,例句中文翻譯
commit,He was sent to prison for a crime that he didn't commit.,v. 承諾；犯罪,他因為沒有犯下的罪行而被送進監獄。
anticipate,We don't anticipate any trouble.,v. 預料，預期,我們預計不會有任何麻煩。
competition,There's a lot of competition for jobs.,n. 競賽，競爭,就業競爭非常激烈。
keep someone on their toes,Regular checks keep the staff on their toes.,phr. 讓某人保持警惕,定期的檢查讓員工保持警惕。
come down to,It really comes down to what our customers are looking for.,phr. 歸根究底在於,歸根究底，這取決於我們的客戶想要什麼。
laboratory / lab,The research was carried out in a laboratory.,n. 實驗室,這項研究是在實驗室裡進行的。
balloon,The rumors soon ballooned into a major scandal.,v. 激增；氣球,謠言很快就演變成了一樁大醜聞。
heat sink,"Underneath these heat sinks, you have two different Arm AGI CPUs.",n. 散熱器,在這些散熱片下方，有兩個不同的 Arm AGI CPU。
sink,The sun glowed red as it sank slowly below the horizon.,v. 下沉,太陽緩緩沉入地平線，泛起一片紅光。
dense,a dense forest,adj. 稠密的,茂密的森林
bet,"She bet £500,000 on the horse that came in second.",n./v. 打賭，賭注,她在那匹跑第二的馬上押了五十萬英鎊。
appeal to,The idea of working abroad really appeals to me.,phr. 呼籲；對...有吸引力,去國外工作的想法對我很有吸引力。
ruthless,Some people believe that to succeed in this world you have to be ruthless.,adj. 無情的,有些人認為，要在這個世界上成功，就必須冷酷無情。
burden,I don't want to be a burden on my children.,n. 負擔,我不想成為孩子們的負擔。
spree,a shopping/spending spree,n. 狂歡，無節制地做某事,瘋狂購物／消費
appointment,"I'd like to make an appointment with Dr Evans, please.",n. 預約；任命,我想預約埃文斯醫生。
merchant,a wine merchant,n. 商人,酒商
merchant silicon,Many companies use merchant silicon rather than building their own chips.,n. 商用矽晶片,許多公司使用商用晶片，而不是自己研發晶片。
in-house silicon,Apple uses in-house silicon for its Mac computers.,n. 自主研發晶片,蘋果公司在其 Mac 電腦上使用自主研發的晶片。
steadily,Prices have risen steadily.,adv. 穩定地,物價穩定上漲。
steady,steady economic growth,adj. 穩定的,穩定的經濟成長
decline,His interest in the project declined after his wife died.,v./n. 衰退，下降,妻子死後，他對這個計畫的興趣減弱了。
pragmatic,"In business, the pragmatic approach to problems is often more successful than an idealistic one.",adj. 務實的,在商業中，務實解決問題的方法往往比理想主義的方法更成功。
traction,"In our digital age, it takes less time for new words and phrases to gain traction.",n. 牽引力，影響力,在我們的數位時代，新詞彙和短語獲得影響力所需的時間更短了。
sort of,"It's incredibly high performance, and it's sort of ruthlessly optimized.",phr. 某種程度上，有點,它的性能非常高，而且經過了某種程度上極其嚴格的最佳化。
kind of,I was kind of sorry to see him go.,phr. 有點兒,看到他走，我心裡有點難過。
curious,Babies are curious about everything around them.,adj. 好奇的,嬰兒對周圍的一切都充滿好奇。
consistent,There has been a consistent improvement in her attitude.,adj. 始終如一的，持續的,她的態度有了持續的改善。
keep up with,Wages are failing to keep up with inflation.,phr. 趕上，跟上,薪資成長未能跟上通貨膨脹的步伐。
come up with,She's come up with some amazing scheme to double her income.,phr. 想出，提出,她想出了一個絕妙的計畫，可以讓她的收入翻倍。
scheme,There's a new scheme in our town for recycling plastic bottles.,n. 方案，計畫,我們鎮上推出了一項新的塑膠瓶回收計畫。
have an eye on,Many tech giants have an eye on the next wave of AGI startups.,phr. 密切關注,許多科技巨頭都密切關注下一波通用人工智慧新創公司。
have an eye for,Our chief architect has an eye for efficient silicon design.,phr. 對...有鑑賞力(眼光),我們的首席架構師對高效率的晶片設計有著敏銳的眼光。
outcome,It's too early to predict the outcome of the meeting.,n. 結果,現在預測會議結果還為時過早。
enterprise,Don't forget this is a commercial enterprise - we're here to make money.,n. 企業,別忘了這是一家商業企業——我們來這裡是為了賺錢。
compelling,It's a fairly compelling argument for going.,adj. 令人信服的，引人注目的,這是個相當有說服力的理由去看看。
compel,The new circumstances compelled a change in policy.,v. 迫使,新的情況迫使政策做出改變。
evolve,This CPU is the perfect fit as we evolve into an AI data center developer.,v. 發展，進化,隨著我們發展成為 AI 資料中心開發商，這款 CPU 非常契合我們的需求。
orchestration,Container orchestration automates the deployment and management of applications.,n. 策劃，編排,容器編排會自動化應用程式的部署與管理。
escalate,The escalating rate of inflation will almost certainly bring escalating prices.,v. 升級，惡化,通貨膨脹率不斷攀升幾乎必然會導致物價上漲。
amber,The lights turned to amber.,n. 琥珀色，黃燈,燈號變成了黃燈(琥珀色)。
observance,The Taiwan offices will be closed in observance of Children’s Day.,n. 遵守，紀念,台灣辦公室將因兒童節而放假紀念。
compensate,Nothing will ever compensate for his lost childhood.,v. 補償,什麼都無法彌補他失去的童年。
apparently,I saw her last night and apparently it's on the 14th.,adv. 顯然地,我昨晚見到她了，顯然派對改到 14 號了。
apparent,Her unhappiness was apparent to everyone.,adj. 明顯的,她的不快樂人盡皆知。
resilient,This rubber ball is very resilient and immediately springs back into shape.,adj. 有彈性的，適應力強的,這種橡膠球彈性極佳，能立即恢復原狀。
arbitrate,An outside adviser has been brought in to arbitrate the dispute.,v. 仲裁,已聘請外部顧問來仲裁糾紛。
in place of,You can use milk in place of cream in this recipe.,phr. 代替,在這個食譜中，你可以用牛奶代替鮮奶油。
make up for,No amount of money can make up for the death of a child.,phr. 彌補,多少錢都無法彌補失去孩子的痛。
authentic,"He was there and saw what happened, so his is the only authentic account.",adj. 真實的，可靠的,他當時在場並看到了發生的事情，所以他的描述是唯一真實的。
ambiguity,We wish to remove any ambiguity concerning our demands.,n. 歧義，模稜兩可,我們希望消除對我們要求中任何模稜兩可的部分。
approach,We need to adopt a new approach to the problem.,n./v. 方法；接近,我們需要採用新的方法來解決這個問題。
approachable,Graham's always very approachable - why don't you talk the problem over with him?,adj. 平易近人的,葛拉罕總是很平易近人 - 你為什麼不跟他談談這個問題？
throughout,He yawned throughout the performance.,prep./adv. 自始至終,他在整個表演過程中都在打哈欠。
emerge,"She emerged from the sea, blue with cold.",v. 出現，浮現,她從海裡出來，凍得發紫。
emerging,She is an emerging artist in the local community.,adj. 新興的，嶄露頭角的,她是當地社區一位嶄露頭角的藝術家。
parity,"In the past three years, we worked on this cloud to edge parity concept.",n. 平價，同等,過去三年，我們致力於實現雲端到邊緣的同等融合概念。
continuity,There has been no continuity in that class - they've had six different teachers.,n. 連續性,這個班級一直沒有連貫的教學——他們已經換了六位老師了。
leverage,We can gain a market advantage by leveraging our network of partners.,v./n. 利用，發揮效用；槓桿,我們可以利用合作夥伴網路來獲得市場優勢。
holistic,My doctor takes a holistic approach to disease.,adj. 整體的，全面的,我的醫生採用整體療法來治療疾病。
disruptive,"His teacher described him as a noisy, disruptive influence in class.",adj. 破壞性的，顛覆性的,他的老師形容他在課堂上是個吵鬧、擾亂秩序的人。
boilerplate,You can use a library to reduce the amount of boilerplate code in your project.,n. 樣板，標準程式碼,您可以使用函式庫來減少專案中的樣板程式碼數量。
lean,Big companies are leaning into the Google stack.,v. 傾斜，倚靠，積極投入,大型公司都在積極採用(投入) Google 的技術棧。
lease,Many startups choose to lease office equipment to save on initial costs.,v. 租賃,許多新創公司選擇租賃辦公設備以節省初期成本。
discount,They usually give you a discount if you buy multiple copies.,n./v. 折扣，打折,如果購買多份，他們通常會給你折扣。
profound,My grandfather has a profound mistrust of anything new or foreign.,adj. 深遠的，深刻的,我的祖父對任何新事物或外國事物都有深深的不信任感。
coincide,"If the heavy rain had coincided with an extreme high tide, serious flooding would have resulted.",v. 同時發生，重疊,如果暴雨恰逢極端高潮，將會造成嚴重的洪水災害。
tide,We must look for ways of stemming the rising tide of protest.,n. 潮水，趨勢,我們必須想辦法遏制日益高漲的抗議浪潮。
protest,Protests have been made by many people who would be affected.,n./v. 抗議,許多會受到影響的人已經提出了抗議。
appetite,The public has a huge appetite for new technology.,n. 胃口，強烈慾望,大眾對新科技有著極大的熱情(胃口)。
delegate,A good manager knows how to delegate tasks to their team.,n./v. 代表；委派,優秀的管理者懂得如何將任務委派給團隊成員。
adequate,I didn't have adequate time to prepare.,adj. 充足的，適當的,我沒有足夠的時間準備。
sycophancy,"The king was surrounded by sycophancy, so he never heard the truth.",n. 拍馬屁，諂媚,國王身邊盡是阿諛奉承之徒，所以他從未聽過真話。
pace,The pace of modern life is very fast.,n. 步伐，節奏,現代生活節奏非常快。
incentive,Bonus payments provide an incentive to work harder.,n. 激勵，動機,獎金可以激勵員工更努力工作。
profoundly,Society has changed so profoundly over the last 50 years.,adv. 深刻地,過去 50 年裡，社會發生了翻天覆地的變化。
notwithstanding,"Notwithstanding some members' objections, I think we must go ahead with the plan.",prep. 儘管,儘管有些成員反對，但我認為我們必須繼續執行該計畫。
fascinated,I was fascinated to hear about his travels in Japan.,adj. 著迷的,聽到他在日本的旅行經歷，我非常感興趣(著迷)。
biography,He wrote a biography of Winston Churchill.,n. 傳記,他寫了一本溫斯頓·邱吉爾的傳記。
strike,The city's bus drivers have been on strike for three weeks.,v./n. 罷工，打擊,這個城市的公車司機已經罷工三週了。
referral,The doctor gave him a referral to the consultant.,n. 轉診，推薦,醫生給他開了轉診單去看了專科醫生。
well-being,People doing yoga benefit from an increased feeling of well-being.,n. 幸福，福祉,練習瑜珈的人會感到身心更愉悅。
ordinary,They wanted more stories about ordinary people.,adj. 普通的,他們希望看到更多關於普通人的故事。
extraordinary,The passion and drive across the company to reach this point has been extraordinary.,adj. 非凡的,整個公司為達到這一點所展現出的熱情和幹勁令人嘆為觀止。
collective,Moments like this don’t happen without an enormous collective effort.,adj. 集體的,如果沒有巨大的集體努力，這樣的時刻是不可能實現的。
lump,I'll be getting the insurance money in two lumps.,n. 塊，筆(金錢),我會分兩筆拿到保險賠償金。
a lump in my throat,It reminded me of our IPO when I got a lump in my throat seeing the reactions.,phr. 喉嚨哽咽,這讓我想起了我們 IPO 時的情景，看到大家的反應，我不禁哽咽。
monumental,"Please take a moment to reflect on what we have achieved together, it is monumental.",adj. 意義深遠的，宏偉的,請大家花點時間回顧一下我們共同取得的成就，這意義非凡。
reflect,The statistics reflect a change in people's spending habits.,v. 反映，深思,統計數據反映了人們消費習慣的改變。
crisis,The country's leadership is in crisis.,n. 危機,該國領導層正處於危機之中。
fidelity,How important do you think sexual fidelity is in a marriage?,n. 忠誠，保真度,你認為婚姻中的性忠誠有多重要？
engagement,I'm afraid I have a previous engagement.,n. 預約，訂婚，約定,恐怕我已經有其他安排（約定）了。
engage,I have engaged a secretary to deal with all my paperwork.,v. 聘用，從事，吸引,我聘請了一位秘書來處理我所有的文書工作。
arrange,The meeting has been arranged for Wednesday.,v. 安排,會議已安排在週三舉行。
arrangement,They'd made all the arrangements for the party.,n. 安排,他們已經為派對做好了一切安排。
appoint,He's just been appointed as director of the publishing division.,v. 任命，指定,他剛被任命為出版部門主管。
compliance,It is the job of the inspectors to enforce compliance with the regulations.,n. 遵守，合規,監督人員的職責是強制執行規定的遵守情況。
compliant,The product is compliant with international standards.,adj. 順從的，合規的,該產品符合國際標準。
willing,"If you're willing to fly at night, you can get a much cheaper ticket.",adj. 願意的,如果你願意搭乘夜間航班，就能買到更便宜的機票。
retaliation,She suffered severe retaliation for writing articles for the newspapers.,n. 報復,她因寫文章給報紙而遭到嚴重報復。
investigation,"Currently, the individuals who might have caused the accident are under investigation.",n. 調查,目前，可能造成事故的責任人正在接受調查。
violation,It was clear that they had not acted in violation of the rules.,n. 違反,很明顯，他們的行為沒有違反規則。
harassment,Sexual harassment in the workplace is not a trivial matter.,n. 騷擾,職場性騷擾絕非小事。
trivial,I don't know why he gets so upset about something so trivial.,adj. 瑣碎的，微不足道的,我不明白他為什麼會因為這麼點小事而如此生氣。
diversity,Does television adequately reflect the ethnic and cultural diversity of the country?,n. 多樣性,電視節目是否充分反映了一個國家的民族和文化多樣性？
equity,a society based on equity and social justice,n. 公平，股權,一個建立在公平和社會正義基礎上的社會
inclusion,The school has a strong culture of inclusion of students with special needs.,n. 包容,學校有著濃厚的包容特殊需求學生的文化氛圍。
ethnic,The factory's workforce reflects the ethnic mix from which it draws its labour.,adj. 種族的,這家工廠的員工組成反映了其勞動力的種族組合。
launder,Officials were accused of laundering the stolen funds overseas before returning them to the US.,v. 洗錢，洗滌,官員被指控在將贓款運回美國之前，先在海外洗錢。
sustainability,the company's commitment to environmental sustainability,n. 永續性,公司對環境永續發展的承諾
primarily,Baseball is primarily a summer game.,adv. 主要地,棒球主要是一項夏季運動。
influence,He has a huge amount of influence over the city council.,n./v. 影響,他對市議會有著巨大的影響力。
acclimate,It’s important for new starters to talk about their experience acclimating to Arm.,v. 適應,對於新員工來說，談論他們適應 Arm 的經驗是非常重要的。
granularity,We need more granularity in the report.,n. 顆粒度，細節程度,我們需要在報告中有更詳細的顆粒度。
erratum,An erratum was printed in the following issue.,n. 勘誤表 (單數),下一期印出了勘誤表。
errata,The publisher released an errata sheet for the textbook.,n. 勘誤表 (複數),出版社發布了該教材的勘誤表。
ancillary,The system includes ancillary services like logging and monitoring.,adj. 輔助的,該系統包括日誌記錄和監控等輔助服務。
sue,She is suing her husband for divorce.,v. 控告，起訴,她正在起訴丈夫要求離婚。
permanent,She is looking for a permanent place to stay.,adj. 永久的,她正在尋找一個可以長期居住的地方。
charitable,The entire organization is funded by charitable donations.,adj. 慈善的,整個組織都由慈善捐款資助。
allegation,Several of her patients have made allegations of professional misconduct against her.,n. 指控,她的幾位病人曾指控她有職業不當行為。
misconduct,allegations of professional misconduct,n. 不當行為,職業不當行為的指控
deserved,Their victory was richly deserved.,adj. 應得的,他們的勝利實至名歸(理所應當)。
undeserved,Librarians have an undeserved reputation for timidity.,adj. 不應得的,圖書館員給人留下了膽怯的刻板印象，但這是不應該的。
reputation,The company has a worldwide reputation for quality.,n. 名聲,該公司以其卓越的品質享譽全球。
timidity,We could not overcome our timidity to say that we loved each other.,n. 膽怯,我們無法克服內心的羞怯，說出彼此相愛的話。
jury,Police officers aren't usually allowed to serve on a jury.,n. 陪審團,警察通常不允許擔任陪審員。
trial,They're doing clinical trials on a new drug.,n. 審判，試驗,他們正在進行一種新藥的臨床試驗。
fraud,credit card fraud,n. 詐欺,信用卡詐騙
advisory,She works for an investment advisory firm.,adj./n. 諮詢的；公告,她在一家投資顧問公司工作。
infamous,He's infamous for his bigoted sense of humour.,adj. 臭名昭著的,他因其帶有偏見的幽默感而臭名昭著。
aggressive,Aggressive behaviour will not be tolerated in the classroom.,adj. 具攻擊性的，積極的,課堂上絕不容忍攻擊性行為。
episode,This latest episode in the fraud scandal has shocked a lot of people.,n. 插曲，(影集)一集,這起最新的詐騙醜聞插曲令許多人感到震驚。
uneasiness / unease,Growing unease at the prospect of an election is causing fierce arguments.,n. 不安,對即將到來的選舉前景日益增長的不安情緒引發了激烈的爭論。
fierce,fierce arguments,adj. 兇猛的，激烈的,激烈的爭論
scepticism / skepticism,Many people view artificial intelligence with deep skepticism.,n. 懷疑論，懷疑態度,許多人對人工智慧抱持著深深的懷疑態度。
dystopian,fearing it will eventually lead to a dystopian society.,adj. 反烏托邦的,擔心它最終會導致反烏托邦社會。
consequent,Our use of harmful chemicals and the consequent damage to the environment is a serious matter.,adj. 作為結果的,我們使用有害化學物質以及由此對環境造成的破壞是一個嚴重的問題。
consequential,The invention of the internet was a highly consequential event in human history.,adj. 重要的，隨之發生的,網路的發明是人類歷史上一件影響深遠(重要)的事件。
helm,Elon Musk is at the helm of xAI.,n. 舵，掌舵,伊隆馬斯克掌舵(負責) xAI。
suit,He filed a suit against his former employer.,n./v. 訴訟，西裝；適合,他對前雇主提起了訴訟。
cynically,He is cynically manipulating public fears in an attempt to achieve his political ends.,adv. 憤世嫉俗地，冷嘲熱諷地,他冷酷自私地利用大眾的恐懼心理，企圖達到自己的政治目的。
spurn,She spurned my offers of help.,v. 拒絕，唾棄,她拒絕了我的幫助。
suspect,The police suspect him of carrying out two bomb attacks.,v./n./adj. 懷疑；嫌疑犯；可疑的,警方懷疑他發動了兩次炸彈攻擊。
motive,I think you should question their motives in offering to lend you the money.,n. 動機,我認為你應該質疑他們主動提出借錢給你的動機。
disingenuous,It was disingenuous of her to claim she had no financial interest in the case.,adj. 不真誠的，虛偽的,她聲稱自己與此案沒有任何經濟利益關係，這種說法很虛偽。
ingenuous,It has to be said it was rather ingenuous of him to ask a complete stranger to look after his luggage.,adj. 天真無邪的，坦率的,不得不說，他讓一個完全陌生的人看管行李，實在是太天真了。
generous,It was generous of you to lend me the money.,adj. 慷慨的,你借錢給我，真是太慷慨了。
thrive,His business thrived in the years before the war.,v. 繁榮，茁壯成長,戰前幾年，他的生意蒸蒸日上。
litigation,The company agreed to the settlement to avoid the expense of lengthy litigation.,n. 訴訟,該公司同意和解，以避免曠日持久的訴訟費用。
precedent,There are several precedents for promoting people who don't have formal qualifications.,n. 先例,提拔沒有正式學歷的人是有先例可循的。
ultimately,Everything will ultimately depend on what is said at the meeting.,adv. 最終,最終一切都將取決於會議上會談的內容。
governance,Good corporate governance is essential for a company's success.,n. 治理,良好的公司治理對公司的成功至關重要。
upfront,She's very upfront about why she wants the job - she'd earn a lot more money.,adj./adv. 坦率的，預付的,她很坦誠地說明了自己想要這份工作的理由——她能賺到更多的錢。
deter,High prices are deterring many young people from buying houses.,v. 嚇阻，阻止,高房價阻礙了許多年輕人買房。
unemployment,Unemployment has fallen again for the third consecutive month.,n. 失業,失業率連續第三個月出現下降。
amateur,He was an amateur singer until the age of 40.,n./adj. 業餘愛好者(的),他 40 歲前一直是業餘歌手。
compromise,"In a social engineering attack, an attacker uses human interaction to compromise information.",n./v. 妥協，危害(安全),在社交工程攻擊中，攻擊者利用人際互動來竊取(危害)資訊。
solicit,Attackers use email to solicit personal information by posing as a trustworthy organization.,v. 懇求，徵求,攻擊者利用電子郵件冒充可信賴組織來騙取個人資訊。
tactic,These bomb attacks represent a change of tactics by the terrorists.,n. 戰術，策略,這些炸彈攻擊表明恐怖分子改變了策略。
threaten,The message creates urgency and threatens account suspension.,v. 威脅,該訊息營造了緊迫感，並威脅要暫停帳戶。
cybersecurity,"Cybersecurity threats are not just industry headlines, they also impact us at Arm.",n. 網路安全,網路安全威脅不僅僅是行業新聞頭條，它們也影響著 Arm 公司。
vigilance,Each incident shows how small gaps in vigilance can have big consequences.,n. 警覺,每起事件都表明，警覺性方面的小漏洞都可能造成重大後果。
regulatory,a regulatory body/organization,adj. 監管的,監管機構/組織
vulnerability,You want a doctor who understands the patient's vulnerability.,n. 漏洞，脆弱性,你需要一位能夠理解病人脆弱一面的醫生。
suspicious,Her behaviour was very suspicious.,adj. 可疑的，多疑的,她的行為非常可疑。
transient,The city has a large transient population of students and tourists.,adj. 短暫的，過渡的,這座城市有大量的流動學生和遊客。
intervene,The government had to intervene to prevent the strike from becoming violent.,v. 干預，介入,政府不得不介入以防止罷工演變成暴力事件。
pillar,They are shifting from an internal efficiency tool to a core pillar of Alphabet's AI revenue strategy.,n. 支柱,他們正在從內部效率工具轉變為 Alphabet 的 AI 營收策略的核心支柱。
evidenced,His dedication is evidenced by his hard work.,adj. 證明屬實的,他的奉獻可以從他的努力工作中得到證明。
herein,The terms contained herein are final.,adv. 在此 / 在本文件中\n(= in this agreement),本文件包含的條款為最終條款。
hereby,I hereby declare that the information is true.,adv. 特此 / 藉此,我特此聲明該資訊屬實。
hereunder,The obligations hereunder shall survive termination.,adv. 在下文 / 依據本文件,本文件項下的義務在終止後仍然有效。
prompt,A prompt decision is needed.,adj./v./n. 迅速的 / 提示,需要迅速做出決定。
Keep [someone] on [their] toes,The surprise tests keep the students on their toes.,phr. 讓某人保持警惕,突擊考試讓學生們保持警惕。
toe,He stubbed his toe on the chair.,n. 腳趾,他的腳趾踢到了椅子。
laboratory,The scientist works in a chemistry laboratory.,n. 實驗室,這位科學家在化學實驗室工作。
pursue,She decided to pursue a career in television.,v. 追求 / 從事,她決定從事電視行業。
uneasiness,Growing unease at the prospect of an election is causing fierce arguments within the party.,n. 不安,對即將到來的選舉日益增長的不安引發了黨內激烈的爭論。
unease,She felt a deep sense of unease.,n. 不安,她感到深深的不安。
scepticism,Many people view artificial intelligence with deep skepticism.,n. 懷疑態度,許多人仍對AI抱持深深的懷疑。
over the last decade,"Over the last decade, technology has advanced rapidly.",phr. 在過去十年裡,在過去的十年裡，科技發展迅速。
heavy weight compute,Training large AI models requires heavy weight compute resources.,n. 高負載計算 / 重度運算,訓練大型AI模型需要高負載的運算資源。
keep innovating,"To stay competitive, a company must keep innovating.",phr. 持續創新,為了保持競爭力，公司必須持續創新。
at the speed,Data is transferred at the speed of light in fiber optic cables.,phr. 以...的速度,資料在光纖電纜中以光速傳輸。
keep up with what's going on,I read the news every morning to keep up with what's going on.,phr. 跟上目前的發展 / 掌握最新動態,我每天早上看新聞以掌握最新動態。
consistently,She consistently delivers high-quality work.,adv. 一貫地 / 始終如一地,她始終如一地產出高品質的工作。
in a way that does not change,The system operates in a way that does not change regardless of the load.,phr. 以不變的方式 / 穩定地,無論負載多大，系統都能以穩定的方式運作。
predictable scalability,Cloud infrastructure provides predictable scalability for growing businesses.,n. 可預期的擴展性,雲端基礎設施為成長中的企業提供了可預期的擴展性。
drive more energy efficiency,The new architecture is designed to drive more energy efficiency.,phr. 提升能源效率,新架構旨在提升能源效率。
at the end of the day,"At the end of the day, we need to ensure customer satisfaction.",phr. 歸根結底 / 最終,歸根結底，我們需要確保客戶滿意。
ultimately; in the final analysis,"Ultimately, the decision is yours.",adv./phr. 最終 / 歸根結底,最終，決定權在你手上。
price performance,The new CPU offers excellent price performance.,n. 性價比,新款CPU提供了極佳的性價比。
from a price performance perspective on,"From a price performance perspective, this is the best server on the market.",phr. 從性價比的角度來看,從性價比的角度來看，這是市面上最好的伺服器。
cost reduction,The company implemented several cost reduction strategies this year.,n. 成本降低 / 縮減成本,公司今年實施了幾項縮減成本的策略。
the best outcome per watt,Our chip delivers the best outcome per watt in the industry.,phr. 每瓦最佳效能 / 最佳的每瓦效能,我們的晶片提供業界最佳的每瓦效能。
critical,It is critical that we launch the product on time.,adj. 關鍵的 / 嚴重的,我們按時發布產品是至關重要的。
sense of obligation,He felt a strong sense of obligation to help his community.,n. 責任感,他感到有強烈的責任感去幫助他的社區。
separate itself,The startup tried to separate itself from the competitors by offering unique features.,phr. 脫穎而出 / 與（競爭對手）區隔,這家新創公司試圖透過提供獨特的功能，讓自己從競爭對手中脫穎而出。
fundamentally,The internet fundamentally changed how we communicate.,adv. 根本上地,網際網路從根本上改變了我們溝通的方式。
turned our business upside down,The new regulations completely turned our business upside down.,phr. 徹底改變了我們的業務 / 顛覆了我們的業務,新規範徹底顛覆了我們的業務。
turn something upside down,Moving to a new country turned my life upside down.,phr. 將...徹底翻轉 / 徹底改變,搬到一個新的國家徹底改變了我的生活。
to the point where,The noise grew to the point where we could no longer hear each other.,phr. 達到...的程度,噪音大到我們再也聽不到對方說話的程度。
put pressure on,The tight deadline put a lot of pressure on the engineering team.,phr. 對...施加壓力,緊迫的截止日期給工程團隊帶來了很大的壓力。
power delivery,Efficient power delivery is crucial for high-performance processors.,n. 供電,高效率的供電對於高效能處理器至關重要。
big excitement,There is big excitement surrounding the upcoming product launch.,n. 巨大的興奮 / 萬分期待,大家對即將到來的產品發布感到非常興奮。
accelerate the innovation,Open source software helps accelerate the innovation in the tech industry.,phr. 加速創新,開源軟體有助於加速科技產業的創新。
the future of AI-driven enterprises,Data security will shape the future of AI-driven enterprises.,n. AI驅動企業的未來,資料安全將塑造AI驅動企業的未來。
all the way down to,Arm controls the architecture all the way down to the silicon.,phr. 一直到... / 深至...,Arm 對架構的控制一直延伸到最底層的晶片。
coupled with,"With the ARM silicon coupled with a brand new line of AI accelerators, we have a power-efficient solution.",phr. 加上... / 結合...,結合 ARM 晶片與全新系列的 AI 加速器，我們擁有了一個節能的解決方案。
a brand new line of AI accelerators,The company unveiled a brand new line of AI accelerators at the conference.,n. 全新系列的AI加速器,該公司在會議上推出了一款全新系列的AI加速器。
get (a lot) out of,You can get a lot out of this training course.,phr. 從...中獲益匪淺,你可以從這門培訓課程中獲益匪淺。
orchestration layer,Kubernetes serves as the orchestration layer for managing containers.,n. 編排層,Kubernetes 作為管理容器的編排層。
strengthen the orchestration layer,We need to strengthen the orchestration layer to handle more concurrent tasks.,phr. 強化編排層,我們需要強化編排層以處理更多的並行任務。
frontier,Quantum computing is the new frontier of computer science.,n. 前沿 / 邊界,量子運算是電腦科學的新前沿。
frontier AI system,Developing a frontier AI system requires massive computational resources.,n. 前沿AI系統 / 尖端AI系統,開發尖端AI系統需要龐大的運算資源。
the next wave of,The infrastructure powers the next wave of AI.,phr. 下一波...,這項基礎設施為下一波AI發展提供動力。
drive innovations on all levels,Our goal is to drive innovations on all levels of the software stack.,phr. 在各個層面推動創新,我們的目標是在軟體堆疊的各個層面推動創新。
better to ... than,Who better to lead us than you?,phr. 與其...不如... / 沒有比...更好的,還有誰比你更適合領導我們呢？
partner with,Who better to partner with than ARM?,phr. 與...合作,還有誰比跟 ARM 合作更好的選擇呢？
the decade to come,AI will transform our lives in the decade to come.,n. 未來的十年,在未來的十年裡，AI將改變我們的生活。
stand out,Her exceptional coding skills made her stand out from the other candidates.,phr. 脫穎而出,她卓越的寫程式能力讓她從其他候選人中脫穎而出。
changing landscape,Companies must adapt to the changing landscape of the digital economy.,n. 不斷變化的格局,公司必須適應數位經濟不斷變化的格局。
at times,He can be very difficult to work with at times.,adv. 有時候,他有時候會很難共事。
friendliness,The friendliness of the staff made our stay very enjoyable.,n. 友善,員工的友善讓我們的住宿體驗非常愉快。
approachableness,Her approachableness makes her a great mentor for junior developers.,n. 平易近人,她的平易近人使她成為初級開發人員的優秀導師。
emerging talent recruiters,Our emerging talent recruiters are looking for fresh university graduates.,n. 新興人才招募人員 / 校園招募人員,我們的新興人才招募人員正在尋找應屆大學畢業生。
cloud to edge parity,Achieving cloud to edge parity ensures seamless deployment of applications.,n. 雲端到邊緣的對等性,實現雲端到邊緣的對等性可確保應用程式的無縫部署。
faith,I have complete faith in your ability to finish the project.,n. 信念 / 信任,我對你完成這個專案的能力充滿信心。
in the pace of progress of technology,We must constantly learn to keep up in the pace of progress of technology.,phr. 在科技進步的步伐中,我們必須不斷學習，以跟上科技進步的步伐。
model sycophancy,Model sycophancy occurs when an AI agrees with the user even if the user is wrong.,n. 模型阿諛奉承 / AI迎合傾向,當AI即使在使用者錯誤時也附和使用者，就會發生模型阿諛奉承的情況。
by far,This is by far the most advanced chip we have ever designed.,adv. 顯然 / 遠遠,這顯然是我們設計過最先進的晶片。
put us in a whole different zip code,This breakthrough will put us in a whole different zip code compared to our rivals.,phr. 讓我們進入一個完全不同的境界,這項突破將使我們相較於競爭對手進入一個完全不同的境界。
legal claim,The company is facing a massive legal claim over patent infringement.,n. 法律索賠 / 法律主張,該公司正面臨一項關於專利侵權的鉅額法律索賠。
suing for,They are suing for breach of contract.,phr. 起訴要求... / 控告...,他們因違約提起訴訟。
dismiss,The judge decided to dismiss the case due to lack of evidence.,v. 駁回 / 解僱,由於缺乏證據，法官決定駁回此案。
permanent charitable mission,The foundation was established with a permanent charitable mission.,n. 永久慈善使命,該基金會成立時抱持著永久慈善的使命。
undeserved benefits,Critics argue that the policy gives undeserved benefits to the wealthy.,n. 不應得的利益,批評者認為這項政策讓富人獲得了不應得的利益。
jury trial,The defendant requested a jury trial instead of a bench trial.,n. 陪審團審判,被告要求進行陪審團審判，而不是法官審判。
juror,A juror must remain impartial throughout the trial.,n. 陪審員,陪審員在整個審判過程中必須保持公正。
wrap one's head around,I just can't wrap my head around why she would quit such a good job.,phr. 理解，想通 (常接否定字 can't 表示想不透),我就是想不透她為什麼要辭掉這麼好的工作。,/ɹæp/ wʌnz /hɛd/ əˈɹaʊnd/,Life
vault,The data is stored securely in an underground vault.,n./v. 金庫，保險庫；躍過,資料被安全地儲存在地下金庫中。
